Id,Id2,Geography,HZVI,Margin of Error; Total
0500000US01001,01001,"Autauga County, Alabama",54590,*****
0500000US01003,01003,"Baldwin County, Alabama",183226,*****
0500000US01005,01005,"Barbour County, Alabama",27469,*****
0500000US01007,01007,"Bibb County, Alabama",14312,*****
0500000US01009,01009,"Blount County, Alabama",57466,*****
0500000US01011,01011,"Bullock County, Alabama",10779,*****
0500000US01013,01013,"Butler County, Alabama",20730,*****
0500000US01015,01015,"Calhoun County, Alabama",117834,*****
0500000US01017,01017,"Chambers County, Alabama",34228,*****
0500000US01019,01019,"Cherokee County, Alabama",25917,*****
0500000US01021,01021,"Chilton County, Alabama",43611,*****
0500000US01023,01023,"Choctaw County, Alabama",13838,*****
0500000US01025,01025,"Clarke County, Alabama",25768,*****
0500000US01027,01027,"Clay County, Alabama",13828,*****
0500000US01029,01029,"Cleburne County, Alabama",14905,*****
0500000US01031,01031,"Coffee County, Alabama",49966,*****
0500000US01033,01033,"Colbert County, Alabama",54451,*****
0500000US01035,01035,"Conecuh County, Alabama",13188,*****
0500000US01037,01037,"Coosa County, Alabama",11305,*****
0500000US01039,01039,"Covington County, Alabama",37803,*****
0500000US01041,01041,"Crenshaw County, Alabama",13971,*****
0500000US01043,01043,"Cullman County, Alabama",80403,*****
0500000US01045,01045,"Dale County, Alabama",50129,*****
0500000US01047,01047,"Dallas County, Alabama",43572,*****
0500000US01049,01049,"DeKalb County, Alabama",70949,*****
0500000US01051,01051,"Elmore County, Alabama",79330,*****
0500000US01053,01053,"Escambia County, Alabama",38122,*****
0500000US01055,01055,"Etowah County, Alabama",104317,*****
0500000US01057,01057,"Fayette County, Alabama",17219,*****
0500000US01059,01059,"Franklin County, Alabama",31664,*****
0500000US01061,01061,"Geneva County, Alabama",26769,*****
0500000US01063,01063,"Greene County, Alabama",9067,*****
0500000US01065,01065,"Hale County, Alabama",15750,*****
0500000US01067,01067,"Henry County, Alabama",17275,*****
0500000US01069,01069,"Houston County, Alabama",101459,*****
0500000US01071,01071,"Jackson County, Alabama",53279,*****
0500000US01073,01073,"Jefferson County, Alabama",658464,*****
0500000US01075,01075,"Lamar County, Alabama",14513,*****
0500000US01077,01077,"Lauderdale County, Alabama",92528,*****
0500000US01079,01079,"Lawrence County, Alabama",34148,*****
0500000US01081,01081,"Lee County, Alabama",140938,*****
0500000US01083,01083,"Limestone County, Alabama",83313,*****
0500000US01085,01085,"Lowndes County, Alabama",11304,*****
0500000US01087,01087,"Macon County, Alabama",21214,*****
0500000US01089,01089,"Madison County, Alabama",334661,*****
0500000US01091,01091,"Marengo County, Alabama",20909,*****
0500000US01093,01093,"Marion County, Alabama",30641,*****
0500000US01095,01095,"Marshall County, Alabama",93070,*****
0500000US01097,01097,"Mobile County, Alabama",412297,*****
0500000US01099,01099,"Monroe County, Alabama",22993,*****
0500000US01101,01101,"Montgomery County, Alabama",229376,*****
0500000US01103,01103,"Morgan County, Alabama",119330,*****
0500000US01105,01105,"Perry County, Alabama",10525,*****
0500000US01107,01107,"Pickens County, Alabama",19646,*****
0500000US01109,01109,"Pike County, Alabama",32750,*****
0500000US01111,01111,"Randolph County, Alabama",22843,*****
0500000US01113,01113,"Russell County, Alabama",53938,*****
0500000US01115,01115,"St. Clair County, Alabama",83530,*****
0500000US01117,01117,"Shelby County, Alabama",195237,*****
0500000US01119,01119,"Sumter County, Alabama",13669,*****
0500000US01121,01121,"Talladega County, Alabama",82194,*****
0500000US01123,01123,"Tallapoosa County, Alabama",41534,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",194254,*****
0500000US01127,01127,"Walker County, Alabama",67016,*****
0500000US01129,01129,"Washington County, Alabama",17407,*****
0500000US01131,01131,"Wilcox County, Alabama",11706,*****
0500000US01133,01133,"Winston County, Alabama",24432,*****
0500000US02013,02013,"Aleutians East Borough, Alaska",3114,*****
0500000US02016,02016,"Aleutians West Census Area, Alaska",5507,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",291470,*****
0500000US02050,02050,"Bethel Census Area, Alaska",17184,*****
0500000US02060,02060,"Bristol Bay Borough, Alaska",929,156
0500000US02068,02068,"Denali Borough, Alaska",1917,169
0500000US02070,02070,"Dillingham Census Area, Alaska",4887,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",97523,*****
0500000US02100,02100,"Haines Borough, Alaska",2500,*****
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2153,*****
0500000US02110,02110,"Juneau City and Borough, Alaska",31636,*****
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",55474,*****
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13525,*****
0500000US02150,02150,"Kodiak Island Borough, Alaska",13710,*****
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1551,169
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",89319,*****
0500000US02180,02180,"Nome Census Area, Alaska",9580,*****
0500000US02185,02185,"North Slope Borough, Alaska",9317,*****
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7601,*****
0500000US02195,02195,"Petersburg Census Area, Alaska",3822,*****
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",5603,*****
0500000US02220,02220,"Sitka City and Borough, Alaska",8909,*****
0500000US02230,02230,"Skagway Municipality, Alaska",1050,230
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",7039,*****
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",9614,*****
0500000US02270,02270,"Wade Hampton Census Area, Alaska",7556,*****
0500000US02275,02275,"Wrangell City and Borough, Alaska",2368,*****
0500000US02282,02282,"Yakutat City and Borough, Alaska",644,135
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5637,*****
0500000US04001,04001,"Apache County, Arizona",71618,*****
0500000US04003,04003,"Cochise County, Arizona",131118,*****
0500000US04005,04005,"Coconino County, Arizona",134011,*****
0500000US04007,04007,"Gila County, Arizona",53436,*****
0500000US04009,04009,"Graham County, Arizona",37115,*****
0500000US04011,04011,"Greenlee County, Arizona",8592,*****
0500000US04012,04012,"La Paz County, Arizona",20460,*****
0500000US04013,04013,"Maricopa County, Arizona",3841819,*****
0500000US04015,04015,"Mohave County, Arizona",201216,*****
0500000US04017,04017,"Navajo County, Arizona",107415,*****
0500000US04019,04019,"Pima County, Arizona",981048,*****
0500000US04021,04021,"Pinal County, Arizona",368374,*****
0500000US04023,04023,"Santa Cruz County, Arizona",47057,*****
0500000US04025,04025,"Yavapai County, Arizona",211280,*****
0500000US04027,04027,"Yuma County, Arizona",196420,*****
0500000US05001,05001,"Arkansas County, Arkansas",19029,*****
0500000US05003,05003,"Ashley County, Arkansas",21811,*****
0500000US05005,05005,"Baxter County, Arkansas",41387,*****
0500000US05007,05007,"Benton County, Arkansas",222028,*****
0500000US05009,05009,"Boone County, Arkansas",37032,*****
0500000US05011,05011,"Bradley County, Arkansas",11510,*****
0500000US05013,05013,"Calhoun County, Arkansas",5373,*****
0500000US05015,05015,"Carroll County, Arkansas",27321,*****
0500000US05017,05017,"Chicot County, Arkansas",11759,*****
0500000US05019,05019,"Clark County, Arkansas",23050,*****
0500000US05021,05021,"Clay County, Arkansas",15981,*****
0500000US05023,05023,"Cleburne County, Arkansas",25849,*****
0500000US05025,05025,"Cleveland County, Arkansas",8685,*****
0500000US05027,05027,"Columbia County, Arkansas",24644,*****
0500000US05029,05029,"Conway County, Arkansas",21203,*****
0500000US05031,05031,"Craighead County, Arkansas",96709,*****
0500000US05033,05033,"Crawford County, Arkansas",61670,*****
0500000US05035,05035,"Crittenden County, Arkansas",50618,*****
0500000US05037,05037,"Cross County, Arkansas",17891,*****
0500000US05039,05039,"Dallas County, Arkansas",8122,*****
0500000US05041,05041,"Desha County, Arkansas",12922,*****
0500000US05043,05043,"Drew County, Arkansas",18615,*****
0500000US05045,05045,"Faulkner County, Arkansas",113730,*****
0500000US05047,05047,"Franklin County, Arkansas",18110,*****
0500000US05049,05049,"Fulton County, Arkansas",12301,*****
0500000US05051,05051,"Garland County, Arkansas",96249,*****
0500000US05053,05053,"Grant County, Arkansas",17852,*****
0500000US05055,05055,"Greene County, Arkansas",42224,*****
0500000US05057,05057,"Hempstead County, Arkansas",22548,*****
0500000US05059,05059,"Hot Spring County, Arkansas",33011,*****
0500000US05061,05061,"Howard County, Arkansas",13790,*****
0500000US05063,05063,"Independence County, Arkansas",36572,*****
0500000US05065,05065,"Izard County, Arkansas",13614,*****
0500000US05067,05067,"Jackson County, Arkansas",17885,*****
0500000US05069,05069,"Jefferson County, Arkansas",76836,*****
0500000US05071,05071,"Johnson County, Arkansas",25554,*****
0500000US05073,05073,"Lafayette County, Arkansas",7618,*****
0500000US05075,05075,"Lawrence County, Arkansas",17314,*****
0500000US05077,05077,"Lee County, Arkansas",10430,*****
0500000US05079,05079,"Lincoln County, Arkansas",14167,*****
0500000US05081,05081,"Little River County, Arkansas",13068,*****
0500000US05083,05083,"Logan County, Arkansas",22352,*****
0500000US05085,05085,"Lonoke County, Arkansas",68274,*****
0500000US05087,05087,"Madison County, Arkansas",15674,*****
0500000US05089,05089,"Marion County, Arkansas",16712,*****
0500000US05091,05091,"Miller County, Arkansas",43449,*****
0500000US05093,05093,"Mississippi County, Arkansas",46388,*****
0500000US05095,05095,"Monroe County, Arkansas",8145,*****
0500000US05097,05097,"Montgomery County, Arkansas",9453,*****
0500000US05099,05099,"Nevada County, Arkansas",9003,*****
0500000US05101,05101,"Newton County, Arkansas",8286,*****
0500000US05103,05103,"Ouachita County, Arkansas",25894,*****
0500000US05105,05105,"Perry County, Arkansas",10413,*****
0500000US05107,05107,"Phillips County, Arkansas",21646,*****
0500000US05109,05109,"Pike County, Arkansas",11261,*****
0500000US05111,05111,"Poinsett County, Arkansas",24506,*****
0500000US05113,05113,"Polk County, Arkansas",20535,*****
0500000US05115,05115,"Pope County, Arkansas",61853,*****
0500000US05117,05117,"Prairie County, Arkansas",8659,*****
0500000US05119,05119,"Pulaski County, Arkansas",383185,*****
0500000US05121,05121,"Randolph County, Arkansas",17992,*****
0500000US05123,05123,"St. Francis County, Arkansas",28089,*****
0500000US05125,05125,"Saline County, Arkansas",107498,*****
0500000US05127,05127,"Scott County, Arkansas",11170,*****
0500000US05129,05129,"Searcy County, Arkansas",8146,*****
0500000US05131,05131,"Sebastian County, Arkansas",125795,*****
0500000US05133,05133,"Sevier County, Arkansas",16978,*****
0500000US05135,05135,"Sharp County, Arkansas",17278,*****
0500000US05137,05137,"Stone County, Arkansas",12480,*****
0500000US05139,05139,"Union County, Arkansas",41594,*****
0500000US05141,05141,"Van Buren County, Arkansas",17223,*****
0500000US05143,05143,"Washington County, Arkansas",204057,*****
0500000US05145,05145,"White County, Arkansas",77007,*****
0500000US05147,05147,"Woodruff County, Arkansas",7262,*****
0500000US05149,05149,"Yell County, Arkansas",22033,*****
0500000US06001,06001,"Alameda County, California",1515136,*****
0500000US06003,06003,"Alpine County, California",1197,231
0500000US06005,06005,"Amador County, California",37764,*****
0500000US06007,06007,"Butte County, California",220101,*****
0500000US06009,06009,"Calaveras County, California",45507,*****
0500000US06011,06011,"Colusa County, California",21329,*****
0500000US06013,06013,"Contra Costa County, California",1052047,*****
0500000US06015,06015,"Del Norte County, California",28496,*****
0500000US06017,06017,"El Dorado County, California",180441,*****
0500000US06019,06019,"Fresno County, California",930517,*****
0500000US06021,06021,"Glenn County, California",28078,*****
0500000US06023,06023,"Humboldt County, California",134317,*****
0500000US06025,06025,"Imperial County, California",173487,*****
